镜号,场次,场名,时间码,时长秒,景别／机位,画面动作摘要,关键状态／变体,摄影来源等级,所需视觉资产ID,所需人物音色ID,同步声音约束ID,后期文字／图形资产ID,资产状态,专业控制
084,11,回舱、月面起飞与再对接,00:11:25–00:11:32,7,深空画面／后期字幕,月球弧面和双目标轨迹叠加。字幕：月面起飞后约3小时40分；进入最终交会。,常规任务状态,D｜后期字幕／解释图卡,BY-LGT-P0-004-月面艺术化任务日光;BY-LGT-P1-004-环月轨道太阳光;BY-PRP-P1-005-两器舱门与对接锁止结果件;BY-REL-P0-012-月面艺术化光照与声明;BY-REL-P1-001-月面空间总图;BY-REL-P1-007-摄影来源证据层级;BY-REL-P1-010-地月视觉尺度连续性;BY-SCN-P0-004-月面着陆与作业区;BY-SCN-P1-006-环月轨道外部环境;BY-VFX-P1-002-环月轨道交会与对接,BY-VOI-P0-003-刘定槎声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-001-舱门对接机构结构传导;BY-SND-P1-003-发动机舱内结构振动,BY-SYM-P1-003-任务阶段与时间跳跃标牌;BY-SYM-P1-004-任务轨迹与相位图模板,阶段1映射完成｜阶段2B按镜头状态调用,具体时间为本片艺术流程。
085,11,回舱、月面起飞与再对接,00:11:32–00:11:42,10,对接口监视相机／舱内交叉,揽月目标沿轴线闭合，完成接触捕获、硬连接和密封检查；三方只报关键状态。,常规任务状态,A｜航天器／宇航服／月面真实任务机位推演,BY-PRP-P1-005-两器舱门与对接锁止结果件;BY-PRP-P1-015-航天器任务相机组;BY-REL-P0-005-揽月构型状态链;BY-REL-P1-007-摄影来源证据层级;BY-VEH-P0-003-揽月登月舱;BY-VEH-P1-004-揽月月面起飞状态;BY-VEH-P1-005-揽月月轨再对接状态;BY-VFX-P1-002-环月轨道交会与对接,BY-VOI-P0-001-杨凛声音;BY-VOI-P0-003-刘定槎声音;BY-VOI-P1-004-北京飞控主调度声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-001-舱门对接机构结构传导,,阶段1映射完成｜阶段2B按镜头状态调用,再对接以任务证据相机主导。
086,11,回舱、月面起飞与再对接,00:11:42–00:11:51,9,梦舟返回舱后向广角,舱门开启后，杨凛、陈砚携样品依次进入梦舟并固定；三把座椅重新全部有人，刘定槎与两人短暂对视。,梦舟C｜三人重聚／样品归舱,A｜航天器／宇航服／月面真实任务机位推演,BY-ANM-P0-001-梦舟四种乘员状态;BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CHR-P0-003-刘定槎;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-002-陈砚舱内飞行服;BY-CST-P0-003-刘定槎舱内飞行服;BY-LGT-P0-001-梦舟舱内任务光;BY-PRP-P0-001-梦舟三座椅与束缚系统;BY-PRP-P1-006-舱内操作界面与任务屏;BY-REL-P0-009-梦舟三座返航承载与环月工作位;BY-REL-P1-006-月面科学路线与样品链;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-001-梦舟舱内三座布局;BY-SCN-P0-005-梦舟环月工作位;BY-SCN-P1-005-月面后段科考区;BY-VEH-P0-001-梦舟载人飞船,BY-VOI-P0-001-杨凛声音;BY-VOI-P0-003-刘定槎声音,BY-REL-P1-003-声音来源真实性;BY-SND-P0-001-舱内生命保障与设备底噪,,阶段1映射完成｜阶段2B按镜头状态调用,第三次建立三座满员，完成视觉母题回收。
087,12,直播二结束：三人重聚,00:11:51–00:12:00,9,媒体区记者中景,林知夏身后大屏显示三人已返回梦舟和样品状态。,常规任务状态,B｜地面直播／测控任务机位,BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CHR-P0-003-刘定槎;BY-CHR-P1-002-林知夏;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-002-陈砚舱内飞行服;BY-CST-P0-003-刘定槎舱内飞行服;BY-CST-P1-004-林知夏记者服装;BY-LGT-P1-008-飞控媒体区直播光;BY-REL-P1-006-月面科学路线与样品链;BY-REL-P1-007-摄影来源证据层级;BY-REL-P1-008-三段直播结构链;BY-SCN-P1-003-飞控中心媒体区;BY-SCN-P1-005-月面后段科考区;BY-VEH-P0-001-梦舟载人飞船,BY-VOI-P1-002-林知夏声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-009-媒体区直播现场声,BY-SYM-P1-007-直播进口出口与倒计时,阶段1映射完成｜阶段2B按镜头状态调用,明确直播出口。
088,12,直播二结束：三人重聚,00:12:00–00:12:16,16,媒体区专家双人,孙亦川站在地月返回轨迹图前，轨迹依次标出离月、途中修正和再入入口。,常规任务状态,B｜地面直播／测控任务机位,BY-CHR-P1-002-林知夏;BY-CHR-P1-005-孙亦川;BY-CST-P1-004-林知夏记者服装;BY-CST-P1-007-孙亦川专家服装;BY-LGT-P0-005-返回舱再入等离子辉光;BY-LGT-P1-008-飞控媒体区直播光;BY-REL-P0-011-梦舟返地构型状态链;BY-REL-P0-013-返回舱再入搜救状态链;BY-REL-P1-007-摄影来源证据层级;BY-REL-P1-008-三段直播结构链;BY-SCN-P0-007-返回舱再入视觉环境;BY-SCN-P1-003-飞控中心媒体区;BY-VEH-P0-005-梦舟月轨组合体;BY-VEH-P0-006-梦舟返回舱独立再入构型;BY-VFX-P0-005-返回舱等离子辉光与黑障视觉;BY-VFX-P1-003-月地转移点火与月球远离;BY-VFX-P1-005-半弹道跳跃式再入轨迹,BY-VOI-P1-013-孙亦川声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-004-再入结构与通信衰减;BY-SND-P1-009-媒体区直播现场声,BY-SYM-P1-004-任务轨迹与相位图模板;BY-SYM-P1-007-直播进口出口与倒计时,阶段1映射完成｜阶段2B按镜头状态调用,不给返航段冠以“相对平静”而省略工程工作。
089,12,直播二结束：三人重聚,00:12:16–00:12:21,5,月轨远景／视觉重建,梦舟离开月球轨道，月球在画面中缓慢远去；字幕：本段直播结束。,遥测视觉重建｜角标常驻,C｜显式遥测视觉重建,BY-LGT-P1-004-环月轨道太阳光;BY-REL-P0-011-梦舟返地构型状态链;BY-REL-P1-007-摄影来源证据层级;BY-REL-P1-010-地月视觉尺度连续性;BY-SCN-P1-006-环月轨道外部环境;BY-VEH-P0-001-梦舟载人飞船;BY-VEH-P0-005-梦舟月轨组合体;BY-VFX-P1-003-月地转移点火与月球远离;BY-VFX-P1-008-遥测视觉重建合成,,BY-REL-P1-003-声音来源真实性,BY-SYM-P1-003-任务阶段与时间跳跃标牌;BY-SYM-P1-006-视觉重建来源标识,阶段1映射完成｜阶段2B按镜头状态调用,揽月后续处置不作未公开细节展示。
090,13,直播三开场：进入地球再入走廊,00:12:21–00:12:29,8,深空／后期字幕,地球由远处蓝白圆盘逐渐扩大。字幕：2029年4月13日；离开月球轨道约三天；梦舟接近再入入口。,常规任务状态,D｜后期字幕／解释图卡,BY-LGT-P0-005-返回舱再入等离子辉光;BY-LGT-P1-004-环月轨道太阳光;BY-REL-P0-011-梦舟返地构型状态链;BY-REL-P0-013-返回舱再入搜救状态链;BY-REL-P1-007-摄影来源证据层级;BY-REL-P1-010-地月视觉尺度连续性;BY-SCN-P0-007-返回舱再入视觉环境;BY-SCN-P1-006-环月轨道外部环境;BY-VEH-P0-001-梦舟载人飞船;BY-VEH-P0-005-梦舟月轨组合体;BY-VEH-P0-006-梦舟返回舱独立再入构型;BY-VFX-P0-005-返回舱等离子辉光与黑障视觉;BY-VFX-P1-003-月地转移点火与月球远离;BY-VFX-P1-005-半弹道跳跃式再入轨迹,,BY-REL-P1-003-声音来源真实性;BY-SND-P1-004-再入结构与通信衰减,BY-SYM-P1-003-任务阶段与时间跳跃标牌,阶段1映射完成｜阶段2B按镜头状态调用,地球视觉尺度随距离变化，不表现为静止小蓝点。
091,13,直播三开场：进入地球再入走廊,00:12:29–00:12:37,8,北京飞控大厅广角,主屏显示地月返回末段、再入走廊和东风着陆场天气；返回、轨道、测控和着陆场协调席位同步工作。,常规任务状态,B｜地面直播／测控任务机位,BY-CRO-P1-001-北京飞控任务团队;BY-CRO-P1-003-搜救与医疗团队;BY-LGT-P0-005-返回舱再入等离子辉光;BY-LGT-P1-003-飞控大厅任务光;BY-LGT-P1-007-搜救着陆区日间自然光;BY-REL-P0-011-梦舟返地构型状态链;BY-REL-P0-013-返回舱再入搜救状态链;BY-REL-P1-007-摄影来源证据层级;BY-REL-P1-009-东风医监与样品双线;BY-SCN-P0-006-北京飞控大厅与任务主屏;BY-SCN-P0-007-返回舱再入视觉环境;BY-SCN-P0-008-预定着陆区与搜救现场;BY-VEH-P0-005-梦舟月轨组合体;BY-VEH-P0-006-梦舟返回舱独立再入构型;BY-VFX-P0-005-返回舱等离子辉光与黑障视觉;BY-VFX-P1-003-月地转移点火与月球远离;BY-VFX-P1-005-半弹道跳跃式再入轨迹,BY-VOI-P1-004-北京飞控主调度声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-003-发动机舱内结构振动;BY-SND-P1-004-再入结构与通信衰减;BY-SND-P1-006-搜救现场声;BY-SND-P1-008-飞控与测控大厅底噪,BY-SYM-P1-004-任务轨迹与相位图模板,阶段1映射完成｜阶段2B按镜头状态调用,飞控大厅保持工作状态，不提前庆祝。
092,13,直播三开场：进入地球再入走廊,00:12:37–00:12:47,10,媒体区记者中景,林知夏站在再入轨迹图旁，东风搜救画面出现在副屏。,常规任务状态,B｜地面直播／测控任务机位,BY-CHR-P1-002-林知夏;BY-CRO-P1-003-搜救与医疗团队;BY-CST-P1-004-林知夏记者服装;BY-LGT-P0-005-返回舱再入等离子辉光;BY-LGT-P1-007-搜救着陆区日间自然光;BY-LGT-P1-008-飞控媒体区直播光;BY-REL-P0-011-梦舟返地构型状态链;BY-REL-P0-013-返回舱再入搜救状态链;BY-REL-P1-007-摄影来源证据层级;BY-REL-P1-008-三段直播结构链;BY-REL-P1-009-东风医监与样品双线;BY-SCN-P0-007-返回舱再入视觉环境;BY-SCN-P0-008-预定着陆区与搜救现场;BY-SCN-P1-003-飞控中心媒体区;BY-VEH-P0-006-梦舟返回舱独立再入构型;BY-VFX-P0-005-返回舱等离子辉光与黑障视觉;BY-VFX-P1-005-半弹道跳跃式再入轨迹,BY-VOI-P1-002-林知夏声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-004-再入结构与通信衰减;BY-SND-P1-006-搜救现场声;BY-SND-P1-009-媒体区直播现场声,BY-SYM-P1-004-任务轨迹与相位图模板;BY-SYM-P1-007-直播进口出口与倒计时,阶段1映射完成｜阶段2B按镜头状态调用,用观众能理解的语言说明下一事件。
093,13,直播三开场：进入地球再入走廊,00:12:47–00:13:03,16,媒体区专家双人,孙亦川用两条速度标尺和半弹道跳跃式再入示意解释，林知夏在旁倾听。,常规任务状态,B｜地面直播／测控任务机位,BY-CHR-P1-002-林知夏;BY-CHR-P1-005-孙亦川;BY-CST-P1-004-林知夏记者服装;BY-CST-P1-007-孙亦川专家服装;BY-LGT-P0-005-返回舱再入等离子辉光;BY-LGT-P1-008-飞控媒体区直播光;BY-REL-P0-011-梦舟返地构型状态链;BY-REL-P0-013-返回舱再入搜救状态链;BY-REL-P1-007-摄影来源证据层级;BY-REL-P1-008-三段直播结构链;BY-SCN-P0-007-返回舱再入视觉环境;BY-SCN-P1-003-飞控中心媒体区;BY-VEH-P0-006-梦舟返回舱独立再入构型;BY-VFX-P0-005-返回舱等离子辉光与黑障视觉;BY-VFX-P1-005-半弹道跳跃式再入轨迹,BY-VOI-P1-013-孙亦川声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-004-再入结构与通信衰减;BY-SND-P1-009-媒体区直播现场声,BY-SYM-P1-004-任务轨迹与相位图模板;BY-SYM-P1-007-直播进口出口与倒计时,阶段1映射完成｜阶段2B按镜头状态调用,不使用“以第二宇宙速度撞向大气层”的错误说法。
094,13,直播三开场：进入地球再入走廊,00:13:03–00:13:13,10,东风着陆场任务画面,地面雷达、光学测量、终端红外、直升机和地面搜救车组进入待命；医监医保舱和样品接收箱完成检查。,常规任务状态,B｜地面直播／测控任务机位,BY-CRO-P1-003-搜救与医疗团队;BY-LGT-P1-007-搜救着陆区日间自然光;BY-PRP-P1-013-东风样品接收设备;BY-REL-P0-013-返回舱再入搜救状态链;BY-REL-P1-006-月面科学路线与样品链;BY-REL-P1-007-摄影来源证据层级;BY-REL-P1-009-东风医监与样品双线;BY-SCN-P0-008-预定着陆区与搜救现场;BY-SCN-P1-005-月面后段科考区;BY-VEH-P1-008-搜救直升机与地面车辆,BY-VOI-P1-008-搜救指挥声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-003-发动机舱内结构振动;BY-SND-P1-006-搜救现场声,BY-SYM-P1-005-样品编号与封签模板,阶段1映射完成｜阶段2B按镜头状态调用,主着陆场锁定东风。
095,13,直播三开场：进入地球再入走廊,00:13:13–00:13:21,8,轨迹仿真／任务图卡,返回舱、两次再入段、黑障区和预报落区在同一张简化图上依次点亮。,常规任务状态,D｜后期字幕／解释图卡,BY-LGT-P0-005-返回舱再入等离子辉光;BY-REL-P0-011-梦舟返地构型状态链;BY-REL-P0-013-返回舱再入搜救状态链;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-007-返回舱再入视觉环境;BY-VEH-P0-006-梦舟返回舱独立再入构型;BY-VFX-P0-005-返回舱等离子辉光与黑障视觉;BY-VFX-P1-005-半弹道跳跃式再入轨迹,BY-VOI-P1-002-林知夏声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-004-再入结构与通信衰减,BY-SYM-P1-004-任务轨迹与相位图模板,阶段1映射完成｜阶段2B按镜头状态调用,图卡文字和标识由后期完成。
096,14,半弹道跳跃式再入与黑障,00:13:21–00:13:30,9,梦舟外部任务相机／视觉重建交叉,返回舱与服务舱按程序分离，返回舱调整为再入姿态；外部全景角落标注视觉重建。,遥测视觉重建｜角标常驻,C｜显式遥测视觉重建,BY-LGT-P0-005-返回舱再入等离子辉光;BY-PRP-P1-015-航天器任务相机组;BY-REL-P0-011-梦舟返地构型状态链;BY-REL-P0-013-返回舱再入搜救状态链;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-007-返回舱再入视觉环境;BY-VEH-P0-001-梦舟载人飞船;BY-VEH-P0-006-梦舟返回舱独立再入构型;BY-VEH-P1-007-梦舟服务舱近地分离状态;BY-VFX-P0-005-返回舱等离子辉光与黑障视觉;BY-VFX-P1-005-半弹道跳跃式再入轨迹;BY-VFX-P1-008-遥测视觉重建合成,BY-VOI-P0-001-杨凛声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-004-再入结构与通信衰减,BY-SYM-P1-006-视觉重建来源标识,阶段1映射完成｜阶段2B按镜头状态调用,梦舟返回舱是唯一载人密封舱。
097,14,半弹道跳跃式再入与黑障,00:13:30–00:13:39,9,梦舟舱内三人中景,三人固定在承力座椅，面窗外可见地球弧面；陈砚确认样品箱锁定，刘定槎监看入口参数。,梦舟D｜三人返航承载／再入着陆,A｜航天器／宇航服／月面真实任务机位推演,BY-ANM-P0-001-梦舟四种乘员状态;BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CHR-P0-003-刘定槎;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-002-陈砚舱内飞行服;BY-CST-P0-003-刘定槎舱内飞行服;BY-LGT-P0-001-梦舟舱内任务光;BY-PRP-P0-001-梦舟三座椅与束缚系统;BY-PRP-P0-005-密封样品转移容器;BY-PRP-P1-006-舱内操作界面与任务屏;BY-PRP-P1-008-主样品容器编号与固定座;BY-REL-P0-008-样品转移链;BY-REL-P0-009-梦舟三座返航承载与环月工作位;BY-REL-P1-006-月面科学路线与样品链;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-001-梦舟舱内三座布局;BY-SCN-P0-005-梦舟环月工作位;BY-SCN-P1-005-月面后段科考区;BY-VEH-P0-001-梦舟载人飞船,BY-VOI-P0-002-陈砚声音;BY-VOI-P0-003-刘定槎声音,BY-REL-P1-003-声音来源真实性;BY-SND-P0-001-舱内生命保障与设备底噪,BY-SYM-P1-005-样品编号与封签模板,阶段1映射完成｜阶段2B按镜头状态调用,第四次出现三座满员，进入返航兑现。
098,14,半弹道跳跃式再入与黑障,00:13:39–00:13:48,9,再入外景／视觉重建,返回舱首次进入稀薄大气，等离子辉光从前缘建立，地球弧面快速移动。,梦舟D｜三人返航承载／再入着陆,C｜显式遥测视觉重建,BY-LGT-P0-005-返回舱再入等离子辉光;BY-REL-P0-011-梦舟返地构型状态链;BY-REL-P0-013-返回舱再入搜救状态链;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-007-返回舱再入视觉环境;BY-VEH-P0-006-梦舟返回舱独立再入构型;BY-VFX-P0-005-返回舱等离子辉光与黑障视觉;BY-VFX-P1-005-半弹道跳跃式再入轨迹;BY-VFX-P1-008-遥测视觉重建合成,,BY-REL-P1-003-声音来源真实性;BY-SND-P1-003-发动机舱内结构振动;BY-SND-P1-004-再入结构与通信衰减,BY-SYM-P1-006-视觉重建来源标识,阶段1映射完成｜阶段2B按镜头状态调用,视觉重建不替代舱内与地面遥测。
099,14,半弹道跳跃式再入与黑障,00:13:48–00:13:57,9,舱内固定近景,三名航天员承受载荷，座椅与肩带变形克制；杨凛按节奏呼吸，刘定槎读数。,梦舟D｜三人返航承载／再入着陆,A｜航天器／宇航服／月面真实任务机位推演,BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CHR-P0-003-刘定槎;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-002-陈砚舱内飞行服;BY-CST-P0-003-刘定槎舱内飞行服;BY-REL-P1-007-摄影来源证据层级,BY-VOI-P0-003-刘定槎声音,BY-REL-P1-003-声音来源真实性,,阶段1映射完成｜阶段2B按镜头状态调用,不使用夸张摇晃和尖叫。
100,14,半弹道跳跃式再入与黑障,00:13:57–00:14:08,11,轨迹仿真／专家画外,仿真图显示返回舱在首次减速后短暂抬升，再进入第二段大气减速。,梦舟D｜三人返航承载／再入着陆,D｜后期字幕／解释图卡,BY-REL-P1-007-摄影来源证据层级,BY-VOI-P1-013-孙亦川声音,BY-REL-P1-003-声音来源真实性,BY-SYM-P1-004-任务轨迹与相位图模板,阶段1映射完成｜阶段2B按镜头状态调用,专家解释放在相对可读的轨迹段。
101,14,半弹道跳跃式再入与黑障,00:14:08–00:14:17,9,再入外景／视觉重建,返回舱再次压入稠密大气，等离子辉光增强，姿态控制小幅变化。,梦舟D｜三人返航承载／再入着陆,C｜显式遥测视觉重建,BY-LGT-P0-005-返回舱再入等离子辉光;BY-REL-P0-011-梦舟返地构型状态链;BY-REL-P0-013-返回舱再入搜救状态链;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-007-返回舱再入视觉环境;BY-VEH-P0-006-梦舟返回舱独立再入构型;BY-VFX-P0-005-返回舱等离子辉光与黑障视觉;BY-VFX-P1-004-姿控喷流;BY-VFX-P1-005-半弹道跳跃式再入轨迹;BY-VFX-P1-008-遥测视觉重建合成,BY-VOI-P1-004-北京飞控主调度声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-004-再入结构与通信衰减,BY-SYM-P1-006-视觉重建来源标识,阶段1映射完成｜阶段2B按镜头状态调用,随后进入黑障，不再加入专家整段解说。
102,14,半弹道跳跃式再入与黑障,00:14:17–00:14:29,12,梦舟舱内固定长镜头,舷窗外被橙白辉光覆盖，通信指示转为不可用；三人保持程序化呼吸和监控，只有身体细微受力。,梦舟D｜三人返航承载／再入着陆,A｜航天器／宇航服／月面真实任务机位推演,BY-ANM-P0-001-梦舟四种乘员状态;BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CHR-P0-003-刘定槎;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-002-陈砚舱内飞行服;BY-CST-P0-003-刘定槎舱内飞行服;BY-LGT-P0-001-梦舟舱内任务光;BY-PRP-P0-001-梦舟三座椅与束缚系统;BY-PRP-P1-006-舱内操作界面与任务屏;BY-REL-P0-009-梦舟三座返航承载与环月工作位;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-001-梦舟舱内三座布局;BY-SCN-P0-005-梦舟环月工作位;BY-VEH-P0-001-梦舟载人飞船,,BY-REL-P1-003-声音来源真实性;BY-SND-P0-001-舱内生命保障与设备底噪,,阶段1映射完成｜阶段2B按镜头状态调用,黑障期以沉默和乘组状态承压。
103,14,半弹道跳跃式再入与黑障,00:14:29–00:14:39,10,北京飞控／地面外测交叉,飞控主屏上通信链路变灰，但惯导预测、入口解算和外测搜索区仍在更新；雷达和光学系统指向预报走廊。,梦舟D｜三人返航承载／再入着陆,B｜地面直播／测控任务机位,BY-CRO-P1-001-北京飞控任务团队;BY-LGT-P1-003-飞控大厅任务光;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-006-北京飞控大厅与任务主屏,,BY-REL-P1-003-声音来源真实性;BY-SND-P1-008-飞控与测控大厅底噪,BY-SYM-P1-004-任务轨迹与相位图模板,阶段1映射完成｜阶段2B按镜头状态调用,黑障不是地面完全失去一切判断。
104,14,半弹道跳跃式再入与黑障,00:14:39–00:14:48,9,东风终端红外任务画面,红外画面在预报走廊中出现高温目标，跟踪框稳定后给出方位和速度趋势。,梦舟D｜三人返航承载／再入着陆,B｜地面直播／测控任务机位,BY-CRO-P1-003-搜救与医疗团队;BY-LGT-P1-007-搜救着陆区日间自然光;BY-REL-P0-013-返回舱再入搜救状态链;BY-REL-P1-007-摄影来源证据层级;BY-REL-P1-009-东风医监与样品双线;BY-SCN-P0-008-预定着陆区与搜救现场,BY-VOI-P1-008-搜救指挥声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-006-搜救现场声,BY-SYM-P1-004-任务轨迹与相位图模板,阶段1映射完成｜阶段2B按镜头状态调用,红外是外测发现，不宣称恢复舱内通信。
105,14,半弹道跳跃式再入与黑障,00:14:48–00:14:57,9,北京飞控与梦舟舱内交叉,通信状态重新点亮；三人听见地面呼叫后依次确认。,梦舟D｜三人返航承载／再入着陆,B｜地面直播／测控任务机位,BY-ANM-P0-001-梦舟四种乘员状态;BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CHR-P0-003-刘定槎;BY-CRO-P1-001-北京飞控任务团队;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-002-陈砚舱内飞行服;BY-CST-P0-003-刘定槎舱内飞行服;BY-LGT-P0-001-梦舟舱内任务光;BY-LGT-P1-003-飞控大厅任务光;BY-PRP-P0-001-梦舟三座椅与束缚系统;BY-PRP-P1-006-舱内操作界面与任务屏;BY-REL-P0-009-梦舟三座返航承载与环月工作位;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-001-梦舟舱内三座布局;BY-SCN-P0-005-梦舟环月工作位;BY-SCN-P0-006-北京飞控大厅与任务主屏;BY-VEH-P0-001-梦舟载人飞船,BY-VOI-P0-001-杨凛声音;BY-VOI-P1-004-北京飞控主调度声音,BY-REL-P1-003-声音来源真实性;BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P1-008-飞控与测控大厅底噪,,阶段1映射完成｜阶段2B按镜头状态调用,黑障恢复是明确事件点。
106,14,半弹道跳跃式再入与黑障,00:14:57–00:15:06,9,返回舱外部任务画面,引导伞、主伞依次展开，伞衣充气稳定；返回舱姿态由高速下降转为垂直稳定。,梦舟D｜三人返航承载／再入着陆,A｜航天器／宇航服／月面真实任务机位推演,BY-LGT-P0-004-月面艺术化任务日光;BY-PRP-P1-015-航天器任务相机组;BY-REL-P0-012-月面艺术化光照与声明;BY-REL-P1-001-月面空间总图;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-004-月面着陆与作业区;BY-VEH-P0-007-返回舱群伞气囊着陆构型;BY-VFX-P0-006-稳定伞与主伞展开,BY-VOI-P1-004-北京飞控主调度声音;BY-VOI-P1-008-搜救指挥声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-003-发动机舱内结构振动;BY-SND-P1-005-降落伞与着陆冲击,,阶段1映射完成｜阶段2B按镜头状态调用,外部声采用任务机位拾音，不加配乐。
107,15,东风着陆、搜救与任务完成,00:15:06–00:15:15,9,空中远摄／黎明,主伞下的返回舱掠过东风着陆场荒漠上空，远处搜救直升机保持安全距离。,梦舟D｜三人返航承载／再入着陆,B｜地面直播／测控任务机位,BY-CRO-P1-003-搜救与医疗团队;BY-LGT-P1-007-搜救着陆区日间自然光;BY-REL-P0-013-返回舱再入搜救状态链;BY-REL-P1-007-摄影来源证据层级;BY-REL-P1-009-东风医监与样品双线;BY-SCN-P0-008-预定着陆区与搜救现场;BY-VEH-P0-007-返回舱群伞气囊着陆构型;BY-VEH-P1-008-搜救直升机与地面车辆;BY-VFX-P0-006-稳定伞与主伞展开,BY-VOI-P1-008-搜救指挥声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-003-发动机舱内结构振动;BY-SND-P1-005-降落伞与着陆冲击;BY-SND-P1-006-搜救现场声,,阶段1映射完成｜阶段2B按镜头状态调用,任务机位；不使用英雄化配乐。
108,15,东风着陆、搜救与任务完成,00:15:15–00:15:23,8,梦舟舱内三人中景,三人进入着陆姿态，杨凛确认缓冲程序，刘定槎读出高度，陈砚保护样品状态。,梦舟D｜三人返航承载／再入着陆,A｜航天器／宇航服／月面真实任务机位推演,BY-ANM-P0-001-梦舟四种乘员状态;BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CHR-P0-003-刘定槎;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-002-陈砚舱内飞行服;BY-CST-P0-003-刘定槎舱内飞行服;BY-LGT-P0-001-梦舟舱内任务光;BY-PRP-P0-001-梦舟三座椅与束缚系统;BY-PRP-P1-006-舱内操作界面与任务屏;BY-REL-P0-009-梦舟三座返航承载与环月工作位;BY-REL-P1-006-月面科学路线与样品链;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-001-梦舟舱内三座布局;BY-SCN-P0-005-梦舟环月工作位;BY-SCN-P1-005-月面后段科考区;BY-VEH-P0-001-梦舟载人飞船,BY-VOI-P0-001-杨凛声音;BY-VOI-P0-003-刘定槎声音,BY-REL-P1-003-声音来源真实性;BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P1-003-发动机舱内结构振动,,阶段1映射完成｜阶段2B按镜头状态调用,三座满员母题持续到落地。
109,15,东风着陆、搜救与任务完成,00:15:23–00:15:32,9,地面长焦／舱内交叉,返回舱接地扬尘并短距离稳定；舱内座椅吸收冲击，三人完成着陆后自检。,梦舟D｜三人返航承载／再入着陆,B｜地面直播／测控任务机位,BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CHR-P0-003-刘定槎;BY-CRO-P1-003-搜救与医疗团队;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-002-陈砚舱内飞行服;BY-CST-P0-003-刘定槎舱内飞行服;BY-LGT-P1-007-搜救着陆区日间自然光;BY-REL-P0-013-返回舱再入搜救状态链;BY-REL-P1-007-摄影来源证据层级;BY-REL-P1-009-东风医监与样品双线;BY-SCN-P0-008-预定着陆区与搜救现场;BY-VEH-P0-007-返回舱群伞气囊着陆构型;BY-VFX-P0-007-气囊触地滚摆,BY-VOI-P0-001-杨凛声音;BY-VOI-P1-008-搜救指挥声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-003-发动机舱内结构振动;BY-SND-P1-005-降落伞与着陆冲击;BY-SND-P1-006-搜救现场声,,阶段1映射完成｜阶段2B按镜头状态调用,接地以任务画面和舱内状态双重证明。
